Keywords,Skill_1,Skill_2,Skill_3,Skill_4,Skill_5,Skill_6,Skill_7,Skill_8,Skill_9,Skill_10
"Video Production
Video Editing
Adobe After Effects
Adobe Premiere Pro
Adobe Photoshop
YouTube
+9",Video Production,Video Editing,Adobe After Effects,Adobe Premiere Pro,Adobe Photoshop,YouTube,,,,
"Shopify
Web Development
HTML
Shopify Apps
Business with 1-9 Employees",Shopify,Web Development,HTML,Shopify Apps,Business with 1-9 Employees,,,,,
"IBM SPSS
Statistics
Data Science
Analytics",IBM SPSS,Statistics,Data Science,Analytics,,,,,,
"Video Editing
Video Production
Video Post-Editing
Video Commercial
Adobe Premiere Pro",Video Editing,Video Production,Video Post-Editing,Video Commercial,Adobe Premiere Pro,,,,,
"WordPress
Graphic Design
Adobe Photoshop
JavaScript
Web Design
PHP
HTML
Web Development",WordPress,Graphic Design,Adobe Photoshop,JavaScript,Web Design,PHP,HTML,Web Development,,
"Brand Identity & Guidelines
Adobe Photoshop
Adobe Illustrator
Corporate Brand Identity
Graphic Design
+3",Brand Identity & Guidelines,Adobe Photoshop,Adobe Illustrator,Corporate Brand Identity,Graphic Design,,,,,
"npm
HTML
CSS
HTML5
AngularJS
API",npm,HTML,CSS,HTML5,AngularJS,API,,,,
"Embedded System
PCB Design
Electronic Design
Electronics
Electrical Engineering",Embedded System,PCB Design,Electronic Design,Electronics,Electrical Engineering,,,,,
"AI Agent Development
AI Audio Generation",AI Agent Development,AI Audio Generation,,,,,,,,
"API
PHP
Python
WordPress
JavaScript",API,PHP,Python,WordPress,JavaScript,,,,,
Tax Law,Tax Law,,,,,,,,,
"Shopify
Shopify Templates
Web Development
CSS
Shopify Theme",Shopify,Shopify Templates,Web Development,CSS,Shopify Theme,,,,,
"LinkedIn
Social Media Marketing
Facebook
Marketing Strategy
Graphic Design",LinkedIn,Social Media Marketing,Facebook,Marketing Strategy,Graphic Design,,,,,
"Mechanical Engineering
3D Modeling
SolidWorks
Finite Element Analysis
Flow Simulation
Machine Design
+9",Mechanical Engineering,3D Modeling,SolidWorks,Finite Element Analysis,Flow Simulation,Machine Design,,,,
"German
English
Male
Female
Voice Acting
Voice-Over",German,English,Male,Female,Voice Acting,Voice-Over,,,,
"In-App Purchases
Offline Functionality
Android App Development
Mobile App Development
TV Set
Flutter",In-App Purchases,Offline Functionality,Android App Development,Mobile App Development,TV Set,Flutter,,,,
"Lead Generation
Data Entry
List Building
Data Scraping
Data Mining
Administrative Support
+9",Lead Generation,Data Entry,List Building,Data Scraping,Data Mining,Administrative Support,,,,
"Microbiology
Laboratory Equipment Skills
Biochemistry
Chemistry
Medical Device",Microbiology,Laboratory Equipment Skills,Biochemistry,Chemistry,Medical Device,,,,,
"Lead Generation
Chatbot Development
JavaScript
API
Python",Lead Generation,Chatbot Development,JavaScript,API,Python,,,,,
"Lead Generation
List Building
Prospect List
Data Scraping",Lead Generation,List Building,Prospect List,Data Scraping,,,,,,
"Search Engine Optimization
SEO Keyword Research
On-Page SEO
SEO Backlinking",Search Engine Optimization,SEO Keyword Research,On-Page SEO,SEO Backlinking,,,,,,
ABAP,ABAP,,,,,,,,,
"PHP
MySQL
JavaScript
API
Custom PHP
MySQL Programming
PHP Script
HTML
SQL
cPanel",PHP,MySQL,JavaScript,API,Custom PHP,MySQL Programming,PHP Script,HTML,SQL,cPanel
Android,Android,,,,,,,,,
Zoho Creator,Zoho Creator,,,,,,,,,
"Lead Generation
Social Media Marketing
Social Media Management
Market Research
List Building",Lead Generation,Social Media Marketing,Social Media Management,Market Research,List Building,,,,,
"3D Animation
Animation
Animated Environment
Character Design",3D Animation,Animation,Animated Environment,Character Design,,,,,,
"UI Animation
UX & UI Design",UI Animation,UX & UI Design,,,,,,,,
"API Integration
API
JavaScript
PHP
Web Development",API Integration,API,JavaScript,PHP,Web Development,,,,,
"Landing Page
Website Redesign
Adobe Photoshop
Wix
Web Development
WordPress
Wix SEO Wiz",Landing Page,Website Redesign,Adobe Photoshop,Wix,Web Development,WordPress,Wix SEO Wiz,,,
"CapCut
Video Editing
Adobe Premiere Pro
Adobe After Effects
Final Cut Pro
DaVinci Resolve",CapCut,Video Editing,Adobe Premiere Pro,Adobe After Effects,Final Cut Pro,DaVinci Resolve,,,,
"Microsoft Excel
Data Entry
Spreadsheet Software
Google Docs",Microsoft Excel,Data Entry,Spreadsheet Software,Google Docs,,,,,,
"Animation for Kids
2D Animation
Animation
Illustration",Animation for Kids,2D Animation,Animation,Illustration,,,,,,
"JavaScript
Visual Basic for Applications
API
Visual Basic
PHP",JavaScript,Visual Basic for Applications,API,Visual Basic,PHP,,,,,
"Social Media Management
Social Media Marketing
Facebook
Instagram",Social Media Management,Social Media Marketing,Facebook,Instagram,,,,,,
"Data Entry
Virtual Assistance
Administrative Support
Customer Service",Data Entry,Virtual Assistance,Administrative Support,Customer Service,,,,,,
"R
Statistics
Data Science
Data Analysis
Microsoft Excel
SAS
Quantitative Analysis
+3",R,Statistics,Data Science,Data Analysis,Microsoft Excel,SAS,Quantitative Analysis,,,
"Facebook
Social Media Marketing
Instagram
Social Media Content Creation",Facebook,Social Media Marketing,Instagram,Social Media Content Creation,,,,,,
"Catalog
Print Marketing Materials
Brochure
Logo Design
Brand Identity & Guidelines",Catalog,Print Marketing Materials,Brochure,Logo Design,Brand Identity & Guidelines,,,,,
"Facebook
Social Media Marketing
Instagram
Social Media Content Creation",Facebook,Social Media Marketing,Instagram,Social Media Content Creation,,,,,,
"React Native
Flutter
Hybrid App
Mobile App Development
iOS
iOS Development
Swift
Kotlin
+7",React Native,Flutter,Hybrid App,Mobile App Development,iOS,iOS Development,Swift,Kotlin,,
"Book
Layout Design
Adobe InDesign
Print Design
Graphic Design
Page Layout Design",Book,Layout Design,Adobe InDesign,Print Design,Graphic Design,Page Layout Design,,,,
"Automation
n8n
API",Automation,n8n,API,,,,,,,
"Wix
Search Engine Optimization
Web Design
Shopify
SEO Keyword Research",Wix,Search Engine Optimization,Web Design,Shopify,SEO Keyword Research,,,,,
"Packaging Design
Adobe Illustrator
Graphic Design
Adobe Photoshop
Covers & Packaging",Packaging Design,Adobe Illustrator,Graphic Design,Adobe Photoshop,Covers & Packaging,,,,,
"Mobile App Development
Mobile App Localization
Translation
English
Proofreading
Urdu
JSON",Mobile App Development,Mobile App Localization,Translation,English,Proofreading,Urdu,JSON,,,
"WordPress
PHP
cPanel",WordPress,PHP,cPanel,,,,,,,
"Graphic Design
Content Writing
Web Design
WordPress",Graphic Design,Content Writing,Web Design,WordPress,,,,,,
"Arduino
3D Design
Laser Cutting & Engraving Software
Arduino Firmware",Arduino,3D Design,Laser Cutting & Engraving Software,Arduino Firmware,,,,,,
"Sales
Lead Generation
Marketing Strategy
Relationship Management",Sales,Lead Generation,Marketing Strategy,Relationship Management,,,,,,
"Video Production
Video Editing
Adobe After Effects
Adobe Premiere Pro
Adobe Photoshop
YouTube
+9",Video Production,Video Editing,Adobe After Effects,Adobe Premiere Pro,Adobe Photoshop,YouTube,,,,
"Shopify
Web Development
HTML
Shopify Apps
Business with 1-9 Employees",Shopify,Web Development,HTML,Shopify Apps,Business with 1-9 Employees,,,,,
"IBM SPSS
Statistics
Data Science
Analytics",IBM SPSS,Statistics,Data Science,Analytics,,,,,,
"Video Editing
Video Production
Video Post-Editing
Video Commercial
Adobe Premiere Pro",Video Editing,Video Production,Video Post-Editing,Video Commercial,Adobe Premiere Pro,,,,,
"WordPress
Graphic Design
Adobe Photoshop
JavaScript
Web Design
PHP
HTML
Web Development",WordPress,Graphic Design,Adobe Photoshop,JavaScript,Web Design,PHP,HTML,Web Development,,
"Brand Identity & Guidelines
Adobe Photoshop
Adobe Illustrator
Corporate Brand Identity
Graphic Design
+3",Brand Identity & Guidelines,Adobe Photoshop,Adobe Illustrator,Corporate Brand Identity,Graphic Design,,,,,
"npm
HTML
CSS
HTML5
AngularJS
API",npm,HTML,CSS,HTML5,AngularJS,API,,,,
"Embedded System
PCB Design
Electronic Design
Electronics
Electrical Engineering",Embedded System,PCB Design,Electronic Design,Electronics,Electrical Engineering,,,,,
"AI Agent Development
AI Audio Generation",AI Agent Development,AI Audio Generation,,,,,,,,
"API
PHP
Python
WordPress
JavaScript",API,PHP,Python,WordPress,JavaScript,,,,,
Tax Law,Tax Law,,,,,,,,,
"Shopify
Shopify Templates
Web Development
CSS
Shopify Theme",Shopify,Shopify Templates,Web Development,CSS,Shopify Theme,,,,,
"LinkedIn
Social Media Marketing
Facebook
Marketing Strategy
Graphic Design",LinkedIn,Social Media Marketing,Facebook,Marketing Strategy,Graphic Design,,,,,
"Mechanical Engineering
3D Modeling
SolidWorks
Finite Element Analysis
Flow Simulation
Machine Design
+9",Mechanical Engineering,3D Modeling,SolidWorks,Finite Element Analysis,Flow Simulation,Machine Design,,,,
"German
English
Male
Female
Voice Acting
Voice-Over",German,English,Male,Female,Voice Acting,Voice-Over,,,,
"In-App Purchases
Offline Functionality
Android App Development
Mobile App Development
TV Set
Flutter",In-App Purchases,Offline Functionality,Android App Development,Mobile App Development,TV Set,Flutter,,,,
"Lead Generation
Data Entry
List Building
Data Scraping
Data Mining
Administrative Support
+9",Lead Generation,Data Entry,List Building,Data Scraping,Data Mining,Administrative Support,,,,
"Microbiology
Laboratory Equipment Skills
Biochemistry
Chemistry
Medical Device",Microbiology,Laboratory Equipment Skills,Biochemistry,Chemistry,Medical Device,,,,,
"Lead Generation
Chatbot Development
JavaScript
API
Python",Lead Generation,Chatbot Development,JavaScript,API,Python,,,,,
"Lead Generation
List Building
Prospect List
Data Scraping",Lead Generation,List Building,Prospect List,Data Scraping,,,,,,
"Search Engine Optimization
SEO Keyword Research
On-Page SEO
SEO Backlinking",Search Engine Optimization,SEO Keyword Research,On-Page SEO,SEO Backlinking,,,,,,
ABAP,ABAP,,,,,,,,,
"PHP
MySQL
JavaScript
API
Custom PHP
MySQL Programming
PHP Script
HTML
SQL
cPanel",PHP,MySQL,JavaScript,API,Custom PHP,MySQL Programming,PHP Script,HTML,SQL,cPanel
Android,Android,,,,,,,,,
Zoho Creator,Zoho Creator,,,,,,,,,
"Lead Generation
Social Media Marketing
Social Media Management
Market Research
List Building",Lead Generation,Social Media Marketing,Social Media Management,Market Research,List Building,,,,,
"3D Animation
Animation
Animated Environment
Character Design",3D Animation,Animation,Animated Environment,Character Design,,,,,,
"UI Animation
UX & UI Design",UI Animation,UX & UI Design,,,,,,,,
"API Integration
API
JavaScript
PHP
Web Development",API Integration,API,JavaScript,PHP,Web Development,,,,,
"Landing Page
Website Redesign
Adobe Photoshop
Wix
Web Development
WordPress
Wix SEO Wiz",Landing Page,Website Redesign,Adobe Photoshop,Wix,Web Development,WordPress,Wix SEO Wiz,,,
"CapCut
Video Editing
Adobe Premiere Pro
Adobe After Effects
Final Cut Pro
DaVinci Resolve",CapCut,Video Editing,Adobe Premiere Pro,Adobe After Effects,Final Cut Pro,DaVinci Resolve,,,,
"Microsoft Excel
Data Entry
Spreadsheet Software
Google Docs",Microsoft Excel,Data Entry,Spreadsheet Software,Google Docs,,,,,,
"Animation for Kids
2D Animation
Animation
Illustration",Animation for Kids,2D Animation,Animation,Illustration,,,,,,
"JavaScript
Visual Basic for Applications
API
Visual Basic
PHP",JavaScript,Visual Basic for Applications,API,Visual Basic,PHP,,,,,
"Social Media Management
Social Media Marketing
Facebook
Instagram",Social Media Management,Social Media Marketing,Facebook,Instagram,,,,,,
"Data Entry
Virtual Assistance
Administrative Support
Customer Service",Data Entry,Virtual Assistance,Administrative Support,Customer Service,,,,,,
"R
Statistics
Data Science
Data Analysis
Microsoft Excel
SAS
Quantitative Analysis
+3",R,Statistics,Data Science,Data Analysis,Microsoft Excel,SAS,Quantitative Analysis,,,
"Facebook
Social Media Marketing
Instagram
Social Media Content Creation",Facebook,Social Media Marketing,Instagram,Social Media Content Creation,,,,,,
"Catalog
Print Marketing Materials
Brochure
Logo Design
Brand Identity & Guidelines",Catalog,Print Marketing Materials,Brochure,Logo Design,Brand Identity & Guidelines,,,,,
"Facebook
Social Media Marketing
Instagram
Social Media Content Creation",Facebook,Social Media Marketing,Instagram,Social Media Content Creation,,,,,,
"React Native
Flutter
Hybrid App
Mobile App Development
iOS
iOS Development
Swift
Kotlin
+7",React Native,Flutter,Hybrid App,Mobile App Development,iOS,iOS Development,Swift,Kotlin,,
"Book
Layout Design
Adobe InDesign
Print Design
Graphic Design
Page Layout Design",Book,Layout Design,Adobe InDesign,Print Design,Graphic Design,Page Layout Design,,,,
"Automation
n8n
API",Automation,n8n,API,,,,,,,
"Wix
Search Engine Optimization
Web Design
Shopify
SEO Keyword Research",Wix,Search Engine Optimization,Web Design,Shopify,SEO Keyword Research,,,,,
"Packaging Design
Adobe Illustrator
Graphic Design
Adobe Photoshop
Covers & Packaging",Packaging Design,Adobe Illustrator,Graphic Design,Adobe Photoshop,Covers & Packaging,,,,,
"Mobile App Development
Mobile App Localization
Translation
English
Proofreading
Urdu
JSON",Mobile App Development,Mobile App Localization,Translation,English,Proofreading,Urdu,JSON,,,
"WordPress
PHP
cPanel",WordPress,PHP,cPanel,,,,,,,
"Graphic Design
Content Writing
Web Design
WordPress",Graphic Design,Content Writing,Web Design,WordPress,,,,,,
"Arduino
3D Design
Laser Cutting & Engraving Software
Arduino Firmware",Arduino,3D Design,Laser Cutting & Engraving Software,Arduino Firmware,,,,,,
"Sales
Lead Generation
Marketing Strategy
Relationship Management",Sales,Lead Generation,Marketing Strategy,Relationship Management,,,,,,
"Video Production
Video Editing
Adobe After Effects
Adobe Premiere Pro
Adobe Photoshop
YouTube
+9",Video Production,Video Editing,Adobe After Effects,Adobe Premiere Pro,Adobe Photoshop,YouTube,,,,
"Shopify
Web Development
HTML
Shopify Apps
Business with 1-9 Employees",Shopify,Web Development,HTML,Shopify Apps,Business with 1-9 Employees,,,,,
"IBM SPSS
Statistics
Data Science
Analytics",IBM SPSS,Statistics,Data Science,Analytics,,,,,,
"Video Editing
Video Production
Video Post-Editing
Video Commercial
Adobe Premiere Pro",Video Editing,Video Production,Video Post-Editing,Video Commercial,Adobe Premiere Pro,,,,,
"WordPress
Graphic Design
Adobe Photoshop
JavaScript
Web Design
PHP
HTML
Web Development",WordPress,Graphic Design,Adobe Photoshop,JavaScript,Web Design,PHP,HTML,Web Development,,
"Brand Identity & Guidelines
Adobe Photoshop
Adobe Illustrator
Corporate Brand Identity
Graphic Design
+3",Brand Identity & Guidelines,Adobe Photoshop,Adobe Illustrator,Corporate Brand Identity,Graphic Design,,,,,
"npm
HTML
CSS
HTML5
AngularJS
API",npm,HTML,CSS,HTML5,AngularJS,API,,,,
"Embedded System
PCB Design
Electronic Design
Electronics
Electrical Engineering",Embedded System,PCB Design,Electronic Design,Electronics,Electrical Engineering,,,,,
"AI Agent Development
AI Audio Generation",AI Agent Development,AI Audio Generation,,,,,,,,
"API
PHP
Python
WordPress
JavaScript",API,PHP,Python,WordPress,JavaScript,,,,,
Tax Law,Tax Law,,,,,,,,,
"Shopify
Shopify Templates
Web Development
CSS
Shopify Theme",Shopify,Shopify Templates,Web Development,CSS,Shopify Theme,,,,,
"LinkedIn
Social Media Marketing
Facebook
Marketing Strategy
Graphic Design",LinkedIn,Social Media Marketing,Facebook,Marketing Strategy,Graphic Design,,,,,
"Mechanical Engineering
3D Modeling
SolidWorks
Finite Element Analysis
Flow Simulation
Machine Design
+9",Mechanical Engineering,3D Modeling,SolidWorks,Finite Element Analysis,Flow Simulation,Machine Design,,,,
"German
English
Male
Female
Voice Acting
Voice-Over",German,English,Male,Female,Voice Acting,Voice-Over,,,,
"In-App Purchases
Offline Functionality
Android App Development
Mobile App Development
TV Set
Flutter",In-App Purchases,Offline Functionality,Android App Development,Mobile App Development,TV Set,Flutter,,,,
"Lead Generation
Data Entry
List Building
Data Scraping
Data Mining
Administrative Support
+9",Lead Generation,Data Entry,List Building,Data Scraping,Data Mining,Administrative Support,,,,
"Microbiology
Laboratory Equipment Skills
Biochemistry
Chemistry
Medical Device",Microbiology,Laboratory Equipment Skills,Biochemistry,Chemistry,Medical Device,,,,,
"Lead Generation
Chatbot Development
JavaScript
API
Python",Lead Generation,Chatbot Development,JavaScript,API,Python,,,,,
"Lead Generation
List Building
Prospect List
Data Scraping",Lead Generation,List Building,Prospect List,Data Scraping,,,,,,
"Search Engine Optimization
SEO Keyword Research
On-Page SEO
SEO Backlinking",Search Engine Optimization,SEO Keyword Research,On-Page SEO,SEO Backlinking,,,,,,
ABAP,ABAP,,,,,,,,,
"PHP
MySQL
JavaScript
API
Custom PHP
MySQL Programming
PHP Script
HTML
SQL
cPanel",PHP,MySQL,JavaScript,API,Custom PHP,MySQL Programming,PHP Script,HTML,SQL,cPanel
Android,Android,,,,,,,,,
Zoho Creator,Zoho Creator,,,,,,,,,
"Lead Generation
Social Media Marketing
Social Media Management
Market Research
List Building",Lead Generation,Social Media Marketing,Social Media Management,Market Research,List Building,,,,,
"3D Animation
Animation
Animated Environment
Character Design",3D Animation,Animation,Animated Environment,Character Design,,,,,,
"UI Animation
UX & UI Design",UI Animation,UX & UI Design,,,,,,,,
"API Integration
API
JavaScript
PHP
Web Development",API Integration,API,JavaScript,PHP,Web Development,,,,,
"Landing Page
Website Redesign
Adobe Photoshop
Wix
Web Development
WordPress
Wix SEO Wiz",Landing Page,Website Redesign,Adobe Photoshop,Wix,Web Development,WordPress,Wix SEO Wiz,,,
"CapCut
Video Editing
Adobe Premiere Pro
Adobe After Effects
Final Cut Pro
DaVinci Resolve",CapCut,Video Editing,Adobe Premiere Pro,Adobe After Effects,Final Cut Pro,DaVinci Resolve,,,,
"Microsoft Excel
Data Entry
Spreadsheet Software
Google Docs",Microsoft Excel,Data Entry,Spreadsheet Software,Google Docs,,,,,,
"Animation for Kids
2D Animation
Animation
Illustration",Animation for Kids,2D Animation,Animation,Illustration,,,,,,
"JavaScript
Visual Basic for Applications
API
Visual Basic
PHP",JavaScript,Visual Basic for Applications,API,Visual Basic,PHP,,,,,
"Social Media Management
Social Media Marketing
Facebook
Instagram",Social Media Management,Social Media Marketing,Facebook,Instagram,,,,,,
"Data Entry
Virtual Assistance
Administrative Support
Customer Service",Data Entry,Virtual Assistance,Administrative Support,Customer Service,,,,,,
"R
Statistics
Data Science
Data Analysis
Microsoft Excel
SAS
Quantitative Analysis
+3",R,Statistics,Data Science,Data Analysis,Microsoft Excel,SAS,Quantitative Analysis,,,
"Facebook
Social Media Marketing
Instagram
Social Media Content Creation",Facebook,Social Media Marketing,Instagram,Social Media Content Creation,,,,,,
"Catalog
Print Marketing Materials
Brochure
Logo Design
Brand Identity & Guidelines",Catalog,Print Marketing Materials,Brochure,Logo Design,Brand Identity & Guidelines,,,,,
"Facebook
Social Media Marketing
Instagram
Social Media Content Creation",Facebook,Social Media Marketing,Instagram,Social Media Content Creation,,,,,,
"React Native
Flutter
Hybrid App
Mobile App Development
iOS
iOS Development
Swift
Kotlin
+7",React Native,Flutter,Hybrid App,Mobile App Development,iOS,iOS Development,Swift,Kotlin,,
"Book
Layout Design
Adobe InDesign
Print Design
Graphic Design
Page Layout Design",Book,Layout Design,Adobe InDesign,Print Design,Graphic Design,Page Layout Design,,,,
"Automation
n8n
API",Automation,n8n,API,,,,,,,
"Wix
Search Engine Optimization
Web Design
Shopify
SEO Keyword Research",Wix,Search Engine Optimization,Web Design,Shopify,SEO Keyword Research,,,,,
"Packaging Design
Adobe Illustrator
Graphic Design
Adobe Photoshop
Covers & Packaging",Packaging Design,Adobe Illustrator,Graphic Design,Adobe Photoshop,Covers & Packaging,,,,,
"Mobile App Development
Mobile App Localization
Translation
English
Proofreading
Urdu
JSON",Mobile App Development,Mobile App Localization,Translation,English,Proofreading,Urdu,JSON,,,
"WordPress
PHP
cPanel",WordPress,PHP,cPanel,,,,,,,
"Graphic Design
Content Writing
Web Design
WordPress",Graphic Design,Content Writing,Web Design,WordPress,,,,,,
"Arduino
3D Design
Laser Cutting & Engraving Software
Arduino Firmware",Arduino,3D Design,Laser Cutting & Engraving Software,Arduino Firmware,,,,,,
"Sales
Lead Generation
Marketing Strategy
Relationship Management",Sales,Lead Generation,Marketing Strategy,Relationship Management,,,,,,
"Video Production
Video Editing
Adobe After Effects
Adobe Premiere Pro
Adobe Photoshop
YouTube
+9",Video Production,Video Editing,Adobe After Effects,Adobe Premiere Pro,Adobe Photoshop,YouTube,,,,
"Shopify
Web Development
HTML
Shopify Apps
Business with 1-9 Employees",Shopify,Web Development,HTML,Shopify Apps,Business with 1-9 Employees,,,,,
"IBM SPSS
Statistics
Data Science
Analytics",IBM SPSS,Statistics,Data Science,Analytics,,,,,,
"Video Editing
Video Production
Video Post-Editing
Video Commercial
Adobe Premiere Pro",Video Editing,Video Production,Video Post-Editing,Video Commercial,Adobe Premiere Pro,,,,,
"WordPress
Graphic Design
Adobe Photoshop
JavaScript
Web Design
PHP
HTML
Web Development",WordPress,Graphic Design,Adobe Photoshop,JavaScript,Web Design,PHP,HTML,Web Development,,
"Brand Identity & Guidelines
Adobe Photoshop
Adobe Illustrator
Corporate Brand Identity
Graphic Design
+3",Brand Identity & Guidelines,Adobe Photoshop,Adobe Illustrator,Corporate Brand Identity,Graphic Design,,,,,
"npm
HTML
CSS
HTML5
AngularJS
API",npm,HTML,CSS,HTML5,AngularJS,API,,,,
"Embedded System
PCB Design
Electronic Design
Electronics
Electrical Engineering",Embedded System,PCB Design,Electronic Design,Electronics,Electrical Engineering,,,,,
"AI Agent Development
AI Audio Generation",AI Agent Development,AI Audio Generation,,,,,,,,
"API
PHP
Python
WordPress
JavaScript",API,PHP,Python,WordPress,JavaScript,,,,,
Tax Law,Tax Law,,,,,,,,,
"Shopify
Shopify Templates
Web Development
CSS
Shopify Theme",Shopify,Shopify Templates,Web Development,CSS,Shopify Theme,,,,,
"LinkedIn
Social Media Marketing
Facebook
Marketing Strategy
Graphic Design",LinkedIn,Social Media Marketing,Facebook,Marketing Strategy,Graphic Design,,,,,
"Mechanical Engineering
3D Modeling
SolidWorks
Finite Element Analysis
Flow Simulation
Machine Design
+9",Mechanical Engineering,3D Modeling,SolidWorks,Finite Element Analysis,Flow Simulation,Machine Design,,,,
"German
English
Male
Female
Voice Acting
Voice-Over",German,English,Male,Female,Voice Acting,Voice-Over,,,,
